model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM,1.0,1.0,accuracy,0.0010204315185546875,0.0007226467132568359,16.59035015106201,0.0010204315185546875,0.0007226467132568359,16.59035015106201,1,True,2
LightGBMLarge,1.0,1.0,accuracy,0.0017843246459960938,0.0006930828094482422,9.392011642456055,0.0017843246459960938,0.0006930828094482422,9.392011642456055,1,True,11
CatBoost,1.0,1.0,accuracy,0.005045890808105469,0.004016876220703125,1.582707166671753,0.005045890808105469,0.004016876220703125,1.582707166671753,1,True,5
NeuralNetTorch,1.0,1.0,accuracy,0.028690338134765625,0.024016380310058594,10.537351131439209,0.028690338134765625,0.024016380310058594,10.537351131439209,1,True,10
ExtraTreesEntr,1.0,1.0,accuracy,0.11097168922424316,0.11755871772766113,7.055956602096558,0.11097168922424316,0.11755871772766113,7.055956602096558,1,True,7
RandomForestEntr,1.0,1.0,accuracy,0.1133124828338623,0.09369134902954102,12.186272382736206,0.1133124828338623,0.09369134902954102,12.186272382736206,1,True,4
RandomForestGini,1.0,1.0,accuracy,0.11904072761535645,0.10113954544067383,13.036398649215698,0.11904072761535645,0.10113954544067383,13.036398649215698,1,True,3
ExtraTreesGini,1.0,1.0,accuracy,0.12802934646606445,0.10569882392883301,6.994336843490601,0.12802934646606445,0.10569882392883301,6.994336843490601,1,True,6
XGBoost,0.9966996699669967,1.0,accuracy,0.008639812469482422,0.012070178985595703,9.238706350326538,0.008639812469482422,0.012070178985595703,9.238706350326538,1,True,9
WeightedEnsemble_L2,0.9966996699669967,1.0,accuracy,0.01040196418762207,0.012903928756713867,9.311602115631104,0.0017621517181396484,0.0008337497711181641,0.07289576530456543,2,True,12
LightGBMXT,0.9933993399339934,1.0,accuracy,0.0014510154724121094,0.0007386207580566406,24.377527236938477,0.0014510154724121094,0.0007386207580566406,24.377527236938477,1,True,1
NeuralNetFastAI,0.9933993399339934,0.9921875,accuracy,0.016829252243041992,0.007968425750732422,2.0579771995544434,0.016829252243041992,0.007968425750732422,2.0579771995544434,1,True,8
