model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM,1.0,1.0,accuracy,0.0014367103576660156,0.0008022785186767578,18.875139474868774,0.0014367103576660156,0.0008022785186767578,18.875139474868774,1,True,2
LightGBMLarge,1.0,1.0,accuracy,0.0019185543060302734,0.0007953643798828125,17.97950792312622,0.0019185543060302734,0.0007953643798828125,17.97950792312622,1,True,11
CatBoost,1.0,1.0,accuracy,0.004959583282470703,0.0013232231140136719,1.7436270713806152,0.004959583282470703,0.0013232231140136719,1.7436270713806152,1,True,5
NeuralNetTorch,1.0,1.0,accuracy,0.03656172752380371,0.03249168395996094,18.72411608695984,0.03656172752380371,0.03249168395996094,18.72411608695984,1,True,10
RandomForestEntr,1.0,1.0,accuracy,0.12270689010620117,0.10347747802734375,14.544820547103882,0.12270689010620117,0.10347747802734375,14.544820547103882,1,True,4
ExtraTreesGini,1.0,1.0,accuracy,0.1262805461883545,0.11054563522338867,14.646236896514893,0.1262805461883545,0.11054563522338867,14.646236896514893,1,True,6
RandomForestGini,1.0,1.0,accuracy,0.12736082077026367,0.10801863670349121,16.79212737083435,0.12736082077026367,0.10801863670349121,16.79212737083435,1,True,3
ExtraTreesEntr,1.0,1.0,accuracy,0.16636085510253906,0.10897612571716309,14.713885068893433,0.16636085510253906,0.10897612571716309,14.713885068893433,1,True,7
XGBoost,0.9966996699669967,1.0,accuracy,0.018808364868164062,0.012993097305297852,16.396556854248047,0.018808364868164062,0.012993097305297852,16.396556854248047,1,True,9
WeightedEnsemble_L2,0.9966996699669967,1.0,accuracy,0.020925521850585938,0.01399374008178711,16.490122318267822,0.002117156982421875,0.0010006427764892578,0.09356546401977539,2,True,12
LightGBMXT,0.9933993399339934,1.0,accuracy,0.0018796920776367188,0.0009164810180664062,28.44499635696411,0.0018796920776367188,0.0009164810180664062,28.44499635696411,1,True,1
NeuralNetFastAI,0.9933993399339934,0.9921875,accuracy,0.036441802978515625,0.008519172668457031,2.490359306335449,0.036441802978515625,0.008519172668457031,2.490359306335449,1,True,8
